dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-05-01,115,1,1,0,1,1,0,0,1,0,2,3,12
2016-06-01,57,1,0,0,0,0,0,0,0,0,5,1,14
2016-07-01,42,1,1,1,0,0,0,0,1,0,10,4,12
2016-08-01,49,2,0,0,0,0,0,0,0,0,24,5,13
2016-09-01,44,3,3,0,2,1,2,0,2,1,37,6,13
2016-10-01,26,1,1,0,1,1,0,0,1,0,88,33,7
2016-11-01,30,1,1,0,1,1,0,0,1,0,103,36,14
2016-12-01,64,1,3,1,3,1,0,0,8,6,156,79,9
2017-01-01,13,1,0,0,0,0,0,0,0,0,48,22,6
2017-02-01,36,1,0,0,0,0,0,0,0,0,185,97,6
2017-03-01,51,1,2,2,0,0,2,0,5,4,204,117,14
2017-04-01,47,2,3,1,2,1,0,0,4,0,266,100,7
2017-05-01,111,5,3,1,2,1,0,0,8,15,177,79,4
2017-06-01,85,1,1,0,1,1,2,0,2,3,208,75,4
2017-07-01,83,2,2,1,1,1,4,0,2,2,189,75,7
2017-08-01,153,2,2,1,1,1,2,0,4,9,176,59,7
2017-09-01,86,3,1,0,1,1,0,0,7,14,153,62,2
2017-10-01,58,1,0,0,0,0,0,0,1,0,143,65,4
2017-11-01,101,1,0,0,0,0,0,0,2,1,169,79,5
2017-12-01,86,1,0,0,0,0,0,0,11,18,205,84,6
2018-01-01,34,1,0,0,0,0,0,0,2,8,206,79,8
2018-02-01,19,1,0,0,0,0,0,0,0,0,152,70,7
2018-03-01,32,1,0,0,0,0,0,0,2,7,226,97,4
2018-04-01,59,1,1,0,0,0,1,0,0,0,174,69,3
2018-05-01,79,1,0,0,0,0,0,0,4,10,203,68,1
2018-06-01,97,2,3,0,3,1,0,0,7,6,180,60,2
2018-07-01,85,2,1,0,1,1,0,0,1,0,175,69,2
2018-08-01,10,1,1,1,0,0,0,0,2,1,172,64,2
2018-09-01,32,1,0,0,0,0,0,0,2,1,202,62,1
2018-10-01,50,3,3,1,3,1,1,1,14,44,164,72,0
2018-11-01,16,1,1,0,1,1,0,0,4,5,209,64,1
2018-12-01,36,1,1,0,1,1,2,0,7,5,152,53,0
2019-01-01,65,1,2,0,2,1,2,0,5,8,146,65,3
2019-02-01,30,2,2,1,1,1,0,0,6,11,119,47,0
2019-03-01,17,1,0,0,0,0,0,0,3,6,315,66,3
2019-04-01,7,1,1,0,1,1,0,0,3,6,233,80,2
2019-05-01,1,1,0,0,0,0,0,0,4,6,291,125,1
2019-06-01,14,2,0,0,0,0,0,0,0,0,157,70,1
2019-07-01,3,1,0,0,0,0,0,0,3,5,214,64,1
2019-08-01,29,2,0,0,0,0,0,0,2,0,133,45,0
2019-09-01,9,3,1,0,1,1,1,0,5,108,152,291,3
