,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
project0000.csv,211.0,6.0,3.0,0.0,2.0,1.0,1.0,6.0,29.0,39.0,5.0,1.0
project0001.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,11.0,0.0
project0002.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0
project0003.csv,87.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,40.5,7.0,9.0,0.0
project0004.csv,71.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,55.0,9.0,2.0,1.0
project0005.csv,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,8.0,0.0
project0006.csv,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,43.0,228.0,14.0,1.0
project0007.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,14.0,1.0
project0008.csv,39.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,46.0,12.0,3.0
project0009.csv,45.0,12.0,32.0,4.0,26.0,4.0,347.0,7.0,318.0,22.0,11.0,0.0
project0010.csv,67.5,18.0,26.5,4.0,22.0,1.0,145.0,9.0,239.0,216.0,23.0,0.0
project0011.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,13.0,1.0
project0012.csv,30.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.5,12.0,0.0
project0013.csv,1.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,7.0,84.0,12.0,0.0
project0014.csv,8.0,3.0,5.0,1.0,4.0,1.0,10.0,4.0,22.0,38.0,6.0,1.0
project0015.csv,40.0,13.0,31.0,3.0,27.0,2.0,146.0,3.0,129.0,22.0,12.0,0.0
project0016.csv,3.5,2.0,3.0,0.0,2.5,1.0,7.5,0.0,18.0,27.5,10.0,0.0
project0017.csv,36.0,3.0,12.0,1.0,10.5,1.0,41.5,1.5,93.0,75.5,7.0,1.0
project0018.csv,4.0,2.0,1.5,0.0,1.0,1.0,0.0,1.0,2.0,34.5,8.0,0.0
project0019.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0,6.0,0.0
project0020.csv,70.0,10.0,2.0,0.0,1.0,1.0,2.0,0.0,163.0,65.0,6.0,1.0
project0021.csv,16.5,3.0,5.0,1.0,4.0,1.0,25.5,1.0,32.0,29.0,4.0,0.0
project0022.csv,125.0,5.5,2.0,1.0,1.0,1.0,7.5,0.5,160.5,18.5,6.0,0.0
project0023.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,29.0,0.0
project0024.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,13.0,1.0
project0025.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,7.0,1.0
project0026.csv,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,22.0,88.0,19.0,1.0
project0027.csv,20.0,2.0,15.0,1.0,13.0,2.0,19.0,0.0,12.0,53.0,14.0,0.0
