,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_open_issues,monthly_closed_issues,monthly_stargazer
monthly_PR_comments,0.0,0.17,0.0,0.81,0.0,0.0,0.67
monthly_PR_mergers,0.25,0.0,0.0,0.0,0.0,0.0,0.0
monthly_closed_PRs,0.46,0.0,0.0,0.0,0.0,0.0,0.0
monthly_closed_issues,0.0,0.02,0.0,0.17,0.0,0.0,0.0
monthly_commits,0.0,0.14,0.0,0.01,0.0,0.0,0.0
monthly_contributors,0.28,0.0,0.0,0.0,0.0,0.0,0.0
monthly_forks,0.0,0.61,0.0,0.0,0.0,0.0,0.0
monthly_issue_comments,0.0,0.01,0.0,0.0,0.22,1.0,0.0
monthly_merged_PRs,0.01,0.0,1.0,0.0,0.0,0.0,0.13
monthly_open_PRs,0.0,0.0,0.0,0.01,0.0,0.0,0.2
monthly_open_issues,0.0,0.04,0.0,0.0,0.0,0.0,0.0
monthly_stargazer,0.0,0.0,0.0,0.0,0.78,0.0,0.0
monthly_watchers,0.0,0.0,0.0,0.01,0.0,0.0,0.0
