,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_open_issues,monthly_closed_issues,monthly_stargazer
monthly_commits,0.02,0.14,0.09,0.09,0.09,0.05,0.1
monthly_contributors,0.12,0.03,0.07,0.04,0.04,0.08,0.07
monthly_open_PRs,0.11,0.13,0.04,0.16,0.06,0.09,0.07
monthly_closed_PRs,0.06,0.02,0.08,0.02,0.02,0.03,0.05
monthly_merged_PRs,0.12,0.1,0.19,0.12,0.08,0.1,0.09
monthly_PR_mergers,0.02,0.07,0.06,0.04,0.03,0.02,0.02
monthly_PR_comments,0.04,0.08,0.11,0.15,0.11,0.06,0.06
monthly_open_issues,0.05,0.03,0.03,0.02,0.0,0.03,0.04
monthly_closed_issues,0.11,0.11,0.1,0.13,0.07,0.02,0.08
monthly_issue_comments,0.1,0.1,0.07,0.11,0.19,0.29,0.13
monthly_forks,0.12,0.08,0.06,0.04,0.08,0.08,0.24
monthly_watchers,0.04,0.02,0.01,0.02,0.02,0.03,0.03
monthly_stargazer,0.07,0.09,0.08,0.07,0.18,0.1,0.02
