,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_open_issues,monthly_closed_issues,monthly_stargazer
monthly_contributors,0.2409090909090909,,0.00875,0.049,0.019,0.008888888888888889,0.010909090909090908
monthly_open_PRs,0.2136363636363636,0.03375,,0.22599999999999998,0.016,0.14555555555555555,0.007272727272727273
monthly_closed_PRs,0.04818181818181819,0.0,0.00375,,0.0,0.0011111111111111111,0.009090909090909092
monthly_merged_PRs,0.1981818181818182,0.028749999999999998,0.5925,0.014000000000000002,0.002,0.19333333333333333,0.06818181818181818
monthly_PR_mergers,0.0036363636363636364,0.025,0.0,0.002,0.014000000000000002,0.0011111111111111111,0.0
monthly_PR_comments,0.017272727272727273,0.13875,0.33125,0.40499999999999997,0.003,0.008888888888888889,0.01090909090909091
monthly_open_issues,0.0,0.0125,0.0,0.006999999999999999,,0.0011111111111111111,0.014545454545454545
monthly_closed_issues,0.18090909090909088,0.18625000000000003,0.00125,0.016,0.158,,0.06818181818181818
monthly_issue_comments,0.026363636363636367,0.0,0.03,0.029000000000000005,0.308,0.5922222222222222,0.12181818181818181
monthly_stargazer,0.021818181818181816,0.0725,0.0125,0.077,0.11500000000000002,0.0044444444444444444,
monthly_forks,0.04454545454545455,0.042499999999999996,0.00125,0.016,0.191,0.003333333333333333,0.6327272727272728
monthly_watchers,0.0,0.09125,0.005,0.022,0.019,0.0,0.006363636363636364
monthly_commits,,0.36874999999999997,0.01125,0.138,0.05500000000000001,0.03666666666666667,0.049090909090909095
